January,MONEY,TIME,TOTAL ACT HRS,TOTAL CRED HRS,TOTAL AMT
,"114,540.25","16,323.00",134074.50,"196,993.11","8,830,675.57"
February,MONEY,TIME,TOTAL ACT HRS,TOTAL CRED HRS,TOTAL AMT
,"90,878.75","18,741.25",114851.25,"165,031.77","7,310,055.80"
March,MONEY,TIME,TOTAL ACT HRS,TOTAL CRED HRS,TOTAL AMT
,"113,813.00","17,486.25",134549.00,"196,636.64","8,796,570.78"
April,MONEY,TIME,TOTAL ACT HRS,TOTAL CRED HRS,TOTAL AMT
,"106,405.50","18,633.75",127911.50,"186,569.86","8,308,801.95"
May,MONEY,TIME,TOTAL ACT HRS,TOTAL CRED HRS,TOTAL AMT
,"5,521.25",995.50,6661.75,"8,798.86","392,719.84"
